Restaurant,Longitude,Address,PlaceID,URL,AverageExposure,Stars,ZIP,Count,White,ofWhite,DWN,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,Attraction,Hotspot,Reviews,Amenities,Amenity_Count
61.1802886,Ichiban Japanese Restaurant,-149.8349665,"2488 E Tudor Rd, Anchorage, AK 99507, United States",ChIJLfokOwiXyFYResER49NEM9w,/biz/ichiban-japanese-restaurant-anchorage?osq=Restaurants,0.110286300419007,3.5,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0,62,"Takes Reservations
Offers Delivery
Offers Takeout
Accepts Credit Cards
Casual
Moderate Noise
Good for Groups
Good For Kids
Good for Lunch, Dinner
Private Lot Parking
Free Wi-Fi
Beer & Wine Only
TV
No Outdoor Seating
No Covered Outdoor Seating
Bike Parking",14
61.1815746,IHOP,-149.8750737,"501 E Tudor Rd, Anchorage, AK 99503, United States",ChIJK-LO372XyFYRPOmgJSu-1MA,/biz/ihop-anchorage-4?osq=Restaurants,0.0381285370960283,2.4,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0,70,"Offers Delivery
Offers Takeout
No Reservations
Many Vegetarian Options
Accepts Credit Cards
Accepts Apple Pay
Casual
Moderate Noise
Good for Groups
Good For Kids
Good for Breakfast
Private Lot Parking
No Outdoor Seating
Offers Catering
No Wi-Fi
No Alcohol
No TV
Bike Parking",13
61.1958541,Indian House Restaurant,-149.8942105,"555 W Northern Lights Blvd Suite 102, Anchorage, AK 99503, United States",ChIJ4VbdN8WXyFYRkUh77271fcQ,/biz/indian-house-restaurant-indian?osq=Restaurants,0.145284954858665,3.4,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1,8,"Takes Reservations
Offers Takeout
No Delivery
Many Vegetarian Options
Wheelchair accessible
Accepts Credit Cards
Casual Dress
Offers Catering
Good for Groups
Private Lot Parking
Waiter Service
Happy Hour Specials
Full Bar
Smoking Outside Only
No Outdoor Seating
Not Good For Kids
No Wi-Fi",14
61.192596,Indigo Tea Lounge,-149.8743823,"530 E Benson Blvd #8, Anchorage, AK 99503, United States",ChIJ4cKHzyiWyFYRFknrT2Yllfs,/biz/indigo-tea-lounge-anchorage?osq=Restaurants,0.0466700987738977,4.3,99502,7,15845,62.8,1,1,588,2.3,0,2954,11.7,1,2149,8.5,0,516,2.0,0,1161,25.2,0,5.4,1,94355,1,1,1,48,"Takes Reservations
Offers Takeout
Wheelchair accessible
Accepts Credit Cards
Accepts Apple Pay
Accepts Cryptocurrency
Quiet
Offers Catering
Good for Groups
Good For Kids
Good for Working
Private Lot Parking
Free Wi-Fi
No Outdoor Seating
No Waiter Service
No Alcohol
No TV
Bike Parking",14
61.2101936,Inlet PubHouse,-149.9026429,"1020 W 12th Ave, Anchorage, AK 99501, United States",ChIJN28G2X-9yFYRMD5NlTlSppU,/biz/inlet-pubhouse-anchorage?osq=Restaurants,0.139110307011088,3.5,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0,94,"Takes Reservations
Offers Delivery
Offers Takeout
Wheelchair accessible
Accepts Credit Cards
Accepts Android Pay
Accepts Apple Pay
Accepts Cryptocurrency
Outdoor Seating
Casual
Quiet
Casual Dress
Offers Catering
Good for Groups
Good for Dinner, Dessert
Private Lot Parking
Waiter Service
Free Wi-Fi
Happy Hour Specials
Full Bar
TV
Offers Military Discount
Not Good For Kids
Dogs Not Allowed
Bike Parking",24
61.2182604,International House of Hot Dogs & Goodies,-149.9034791,"415 L St, Anchorage, AK 99501, United States",ChIJ78CedrW9yFYROjlspxgRMD4,/biz/international-house-of-hot-dogs-and-goodies-anchorage?osq=Restaurants,0.157838854482678,4.8,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1,407,"Takes Reservations
Offers Delivery
Offers Takeout
Vegan Options",4
61.1965274,Jackie's Place Restaurant,-149.9068462,"2632 Spenard Rd, Anchorage, AK 99503, United States",ChIJ6eQbztuXyFYRFHYhcuhcuIQ,/biz/jackies-place-restaurant-anchorage?osq=Restaurants,0.122730913871971,4.0,99518,21,6234,58.1,1,0,259,2.4,0,553,5.2,0,1298,12.1,1,192,1.8,0,587,21.2,0,3.0,0,84045,0,1,1,130,"Offers Delivery
Offers Takeout
No Reservations
Limited Vegetarian Options
Accepts Credit Cards
Outdoor Seating
Casual
Moderate Noise
Good for Groups
Good For Kids
Good for Breakfast, Brunch, Lunch
Private Lot Parking
Waiter Service
Free Wi-Fi
TV
Offers Catering
No Alcohol
Bike Parking",16
61.2169056,Jade Steak & Dinner,-149.876911,"401 E 6th Ave STE 101, Anchorage, AK 99501, United States",ChIJYZeNFS-WyFYRzlxBXpEzW28,/biz/jade-steak-and-dinner-anchorage?osq=Restaurants,0.161140762850663,1.0,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0,3,"Hotels, Accepts Credit Cards
Accepts Android Pay
Accepts Apple Pay
Accepts Cryptocurrency
Free Wi-Fi
Dogs Allowed
Offers Military Discount
Open to All",8
61.137909,Jeepney by Adobo Grill,-149.8624687,"9191 Old Seward Hwy, 2477 Arctic Blvd, Anchorage, AK 99515, United States",ChIJrVZRtDuZyFYRH8uvG0VL7ws,/biz/jeepney-by-adobo-grill-anchorage?osq=Restaurants,0.12019667325642,3.4,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0,50,"Offers Delivery
Offers Takeout
No Reservations
Accepts Credit Cards
Good for Groups
Good For Kids
Private Lot Parking
No Wi-Fi",6
61.1890855,Jens' Restaurant,-149.8965651,"701 W 36th Ave, Anchorage, AK 99503, United States",ChIJ90egSsKXyFYR6YQY4Bza5yA,/biz/jens-restaurant-anchorage?osq=Restaurants,0.216850990399188,4.3,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0,184,"Takes Reservations
Offers Takeout
No Delivery
Vegan Options
Many Vegetarian Options
Wheelchair accessible
Accepts Credit Cards
Accepts Android Pay
Accepts Apple Pay
Accepts Cryptocurrency
Outdoor Seating
Classy
Moderate Noise
Good for Groups
Good for Dinner
Private Lot Parking
Free Wi-Fi
Beer & Wine Only
Women-owned
Offers Catering
Not Good For Kids
Dogs Not Allowed
No TV
Provides reusable tableware
No Bike Parking",21
61.145083,Jerry's,-149.8649015,"919 E Dimond Blvd, Anchorage, AK 99515, United States",ChIJzZvPLNeZyFYREks9CsF4p2w,/biz/jerrys-anchorage?osq=Restaurants,0.147316284953693,4.4,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,1,32,"Many Vegetarian Options
Good for Breakfast
TV",3
61.1801927,Jimmy's Asian Food,-149.8934431,"550 W Tudor Rd, Anchorage, AK 99503, United States",ChIJ42dGlZOXyFYRJGMNdDRG5s4,/biz/jimmys-asian-food-anchorage?osq=Restaurants,0.309114336333535,4.2,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0,209,"Takes Reservations
Offers Delivery
Offers Takeout
Vegan Options
Many Vegetarian Options
Wheelchair accessible
Accepts Credit Cards
Accepts Apple Pay
Accepts Android Pay
Casual
Moderate Noise
Casual Dress
Good for Groups
Good For Kids
Good for Lunch, Dinner
Private Lot Parking
Waiter Service
Free Wi-Fi
Beer & Wine Only
TV
Offers Military Discount
Gender-neutral restrooms
Dogs Not Allowed
Bike Parking",23
61.1801927,Jimmy's Sushi,-149.8934431,"550 W Tudor Rd, Anchorage, AK 99503, United States",ChIJ42dGlZOXyFYRJGMNdDRG5s4,/biz/jimmys-sushi-eagle-river?osq=Restaurants,0.127708319027889,4.0,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0,128,"Offers Takeout
Many Vegetarian Options
Accepts Credit Cards
Casual
Good for Dinner",5
61.1798507,Jinmi Korean Restaurant,-149.9379702,"4505 Spenard Rd Suite A, Anchorage, AK 99517, United States",ChIJfbrNHP2XyFYRnR_CNGISFGk,/biz/jinmi-korean-restaurant-anchorage?osq=Restaurants,0.175340576085977,4.1,99517,15,10461,66.2,1,1,581,3.7,0,1160,7.3,1,1605,10.2,1,259,1.6,0,1255,47.1,1,6.4,1,82619,0,1,0,81,"Offers Takeout
No Reservations
Many Vegetarian Options
Accepts Credit Cards
Accepts Apple Pay
Casual
Moderate Noise
Offers Catering
Good for Groups
Good For Kids
Good for Lunch, Dinner
Private Lot Parking
Waiter Service
Paid Wi-Fi
TV
No Outdoor Seating",14
61.1672464,Josie's Bakery,-149.8364348,"5915 Lake Otis Pkwy #5, Anchorage, AK 99507, United States",ChIJ461nGqSXyFYRNlNzE7wlkMo,/biz/josie-s-bakery-anchorage?osq=Restaurants,0.148152290544219,5.0,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0,21,"Offers Takeout
No Reservations
No Delivery
Wheelchair accessible
Accepts Credit Cards
Private Lot Parking
No Outdoor Seating
No Wi-Fi",4
61.1152054,Judy's Cafe,-149.864476,"11620 Old Seward Hwy, Anchorage, AK 99515, United States",ChIJb-8TGJeZyFYRTap-omZGIvk,/biz/judys-cafe-anchorage?osq=Restaurants,0.0573244775785283,4.3,99502,7,15845,62.8,1,1,588,2.3,0,2954,11.7,1,2149,8.5,0,516,2.0,0,1161,25.2,0,5.4,1,94355,1,1,0,75,"Offers Takeout
No Reservations
No Delivery
Accepts Credit Cards
Accepts Apple Pay
Casual
Moderate Noise
Good For Kids
Good for Breakfast, Brunch, Lunch
Private Lot Parking
TV
No Outdoor Seating
Offers Catering
Not Good For Groups
No Wi-Fi
No Alcohol
No Bike Parking",11
61.1742093,juno,-149.8851912,"109 W International Airport Rd, Anchorage, AK 99518, United States",ChIJHweXmleXyFYRQW4ErQzvlNU,/biz/juno-anchorage?osq=Restaurants,0.138833512576965,3.0,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0,12,,0
61.1841088,K's Kitchen,-149.8667895,"4007 Old Seward Hwy #450, Anchorage, AK 99503, United States",ChIJo1AKIM-XyFYRzpO25LX2Qus,/biz/ks-kitchen-anchorage?osq=Restaurants,0.125833429598398,5.0,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0,3,"No Reservations
Private Lot Parking
TV",2
61.1862278,Kami Ramen,-149.9158522,"3807 Spenard Rd, Anchorage, AK 99517, United States",ChIJ2wT7DhWXyFYRXvfLHRF8Duc,/biz/kami-ramen-anchorage?osq=Restaurants,0.264061740256314,4.6,99517,15,10461,66.2,1,1,581,3.7,0,1160,7.3,1,1605,10.2,1,259,1.6,0,1255,47.1,1,6.4,1,82619,0,1,0,65,"Takes Reservations
Offers Delivery
Offers Takeout
Vegan Options
Limited Vegetarian Options
Not wheelchair accessible
Accepts Credit Cards
Casual, Trendy
Moderate Noise
Offers Catering
Good for Groups
Good for Lunch, Dinner
Private Lot Parking
Waiter Service
No Outdoor Seating
No Wi-Fi
No Happy Hour
No Alcohol
No Drive-Thru
Dogs Not Allowed
No TV
No Heated Outdoor Seating
No Covered Outdoor Seating
No Private Dining
Bike Parking
Bring your own container allowed
Compostable containers available
Provides reusable tableware",18
61.2239794,Kava's Pancake House,-149.7346597,"100 Muldoon Rd, Anchorage, AK 99504, United States",ChIJb718vSCUyFYReCZrpl7CBvE,/biz/kavas-pancake-house-anchorage-2?osq=Restaurants,0.0253592335844613,3.8,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0,222,"Offers Takeout
No Reservations
No Delivery
Many Vegetarian Options
Accepts Credit Cards
Accepts Apple Pay
Outdoor Seating
Casual
Moderate Noise
Offers Catering
Good for Groups
Good For Kids
Good for Breakfast, Brunch, Lunch, Dinner
Waiter Service
Free Wi-Fi
TV
No Happy Hour
No Alcohol
Dogs Not Allowed
Bike Parking
Provides reusable tableware",16
61.1599417,Kincaid Grill,-149.9527306,"6700 Jewel Lake Rd, Anchorage, AK 99502, United States",ChIJt5vPfA-YyFYRc-c1QODBeRA,/biz/kincaid-grill-anchorage?osq=Restaurants,0.18690238525004,4.6,99502,7,15845,62.8,1,1,588,2.3,0,2954,11.7,1,2149,8.5,0,516,2.0,0,1161,25.2,0,5.4,1,94355,1,1,0,155,"Takes Reservations
Offers Takeout
No Delivery
Vegan Options
Wheelchair accessible
Accepts Credit Cards
Accepts Cryptocurrency
Classy
Quiet
Casual Dress
Offers Catering
Good for Groups
Good for Dinner
Private Lot Parking
Waiter Service
Free Wi-Fi
Best nights on Thursday
Beer & Wine Only
Private Dining
Gender-neutral restrooms
Open to All
No Outdoor Seating
Not Good For Kids
No Happy Hour
No Smoking
Dogs Not Allowed
No TV
No Heated Outdoor Seating
No Covered Outdoor Seating
No Bike Parking",21
61.1910245,Kinley's Restaurant & Bar,-149.8691368,"3230 Seward Hwy, Anchorage, AK 99503, United States",ChIJwVq21LmXyFYRWzn7MbUtDhY,/biz/kinleys-restaurant-and-bar-anchorage?osq=Restaurants,0.180616735566914,4.1,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1,224,"Venue rental, Takes Reservations
Offers Takeout
Vegan Options
Many Vegetarian Options
Wheelchair accessible
Accepts Credit Cards
Accepts Android Pay
Accepts Apple Pay
Classy
Moderate Noise
Offers Catering
Good for Groups
Good For Kids
Good for Dinner
Private Lot Parking
Waiter Service
Free Wi-Fi
Best nights on Friday
Happy Hour Specials
Full Bar
TV
Open to All
No Outdoor Seating
Not Good For Dancing
No Pool Table
No Smoking
Dogs Not Allowed
Bike Parking",24
61.2145063,Kobe Teppayaki House,-149.9041695,"1100 W 8th Ave, Anchorage, AK 99501, United States",ChIJqZRXtoG9yFYRZVZgi8zHwgc,/biz/kobe-teppayaki-house-anchorage?osq=Restaurants,0.118956452898483,2.8,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0,66,"Takes Reservations
Offers Takeout
Many Vegetarian Options
Accepts Credit Cards
Casual, Classy
Moderate Noise
Good for Groups
Good For Kids
Private Lot Parking
Waiter Service
Beer & Wine Only
TV
No Outdoor Seating
Offers Catering
No Wi-Fi
Bike Parking",14
61.1441461,Korean Garden,-149.8767621,"300 E Dimond Blvd, Anchorage, AK 99515, United States",ChIJM77XNtKZyFYRLEv0OzfhCgQ,/biz/korean-garden-anchorage?osq=Restaurants,0.131698302848592,3.8,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0,76,"Offers Delivery
Offers Takeout
No Reservations
Many Vegetarian Options
Accepts Credit Cards
Casual
Quiet
Good for Groups
Good For Kids
Good for Lunch, Dinner
Private Lot Parking
Beer & Wine Only
TV
Gender-neutral restrooms
No Outdoor Seating
Offers Catering
No Wi-Fi
Bike Parking",15
61.220445,Kriner's Burgers & Pies,-149.8183209,"3074 Mountain View Dr #151, Anchorage, AK 99508, United States",ChIJX4jHn2mWyFYRwLWB2MY7G7M,/biz/kriners-burgers-and-pies-anchorage?osq=Restaurants,0.0423984003229277,3.8,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0,139,"Offers Takeout
No Reservations
No Delivery
Many Vegetarian Options
Accepts Credit Cards
Accepts Apple Pay
Outdoor Seating
Casual
Moderate Noise
Good for Groups
Good For Kids
Good for Lunch, Dinner, Dessert
TV
Offers Catering
No Waiter Service
No Wi-Fi
No Alcohol
No Drive-Thru
Bike Parking",13
61.1991861,Kriner's Diner,-149.8868067,"2409 C St, Anchorage, AK 99503, United States",ChIJi7vxS86XyFYRDY_lYuVnTy4,/biz/kriners-diner-anchorage?osq=Restaurants,0.136832599911319,3.9,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0,222,"Offers Takeout
No Reservations
No Delivery
Many Vegetarian Options
Accepts Credit Cards
Accepts Android Pay
Accepts Apple Pay
Casual
Moderate Noise
Good for Groups
Good For Kids
Good for Breakfast, Brunch, Lunch
Private Lot Parking
Waiter Service
TV
No Outdoor Seating
Offers Catering
No Wi-Fi
No Alcohol
Bike Parking",15
61.142683,L & L Hawaiian Barbecue,-149.8677196,"800 E Dimond Blvd #3-011, Anchorage, AK 99515, United States",ChIJhwSSWNCZyFYRtXOPhru51nE,/biz/l-and-l-hawaiian-barbecue-anchorage-2?osq=Restaurants,0.156887027539875,4.2,99577,13,22970,84.0,1,1,425,1.6,0,638,2.3,0,588,2.2,0,175,0.6,0,1801,39.0,1,3.5,1,111388,1,1,0,5,"Offers Delivery
Offers Takeout",2
61.209437,L'Aroma Bakery & Deli @ New Sagaya Midtown Market,-149.9005079,"900 W 13th Ave, Anchorage, AK 99501, United States",ChIJYRzQbdWXyFYRpNbq2gx_rAM,/biz/l-aroma-bakery-and-deli-new-sagaya-midtown-market-anchorage-3?osq=Restaurants,0.0168790180525104,3.8,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0,16,"Offers Takeout
No Reservations
No Delivery
Accepts Credit Cards
Accepts Cryptocurrency
Outdoor Seating
Loud
Offers Catering
Good for Groups
Good For Kids
Private Lot Parking
No Wi-Fi
No Alcohol
No TV
Bike Parking",10
61.138298,Lahn Pad Thai,-149.843428,"2101 Abbott Rd #7, Anchorage, AK 99507, United States",ChIJAbZO2d2ZyFYRhdcoNtCeVjg,/biz/lahn-pad-thai-anchorage?osq=Restaurants,0.118583413694322,4.0,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0,222,"Takes Reservations
Offers Delivery
Offers Takeout
Vegan Options",4
61.1672331,Lalo's Pizza Take Out,-149.8363495,"5915 Lake Otis Pkwy # 6, Anchorage, AK 99507, United States",ChIJ4b1VBnOXyFYRhF6GC-m-34U,/biz/lalos-pizza-take-out-anchorage?osq=Restaurants,0.116660603598376,4.6,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0,36,"Offers Takeout
No Reservations
No Delivery
Limited Vegetarian Options
Accepts Credit Cards
Outdoor Seating
Classy
Quiet
Private Lot Parking
TV
Not Good For Groups
Not Good For Kids",10
61.197876,Leroy's Family Restaurant,-149.8872986,"2420 C St, Anchorage, AK 99503, United States",ChIJY-fSr8-XyFYRa2VXIqNbpTo,/biz/leroys-family-restaurant-anchorage?osq=Restaurants,0.126761943199834,3.4,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0,128,"Takes Reservations
Offers Takeout
No Delivery
Accepts Credit Cards
Accepts Android Pay
Accepts Apple Pay
Divey
Moderate Noise
Good for Groups
Good For Kids
Good for Breakfast, Late Night
Private Lot Parking
TV
Gender-neutral restrooms
No Outdoor Seating
Offers Catering
No Wi-Fi
No Alcohol
Bike Parking",15
61.3283641,Lexie's Cafe,-149.5682486,"11925 Old Glenn Hwy, Eagle River, AK 99577, United States",ChIJrZSvtPvryFYRM3U3DB5yzX4,/biz/lexie-s-cafe-eagle-river?osq=Restaurants,0.0481151771714033,4.5,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0,42,"Offers Takeout
Accepts Credit Cards
Outdoor Seating
Classy
Good For Kids
Free Wi-Fi
Happy Hour Specials
TV",8
61.1391415,Little Dipper Diner,-149.9156102,"1921 W Dimond Blvd #106, Anchorage, AK 99515, United States",ChIJSWIcxTeYyFYR5wlLWc3W5Y4,/biz/little-dipper-diner-anchorage?osq=Restaurants,0.180804481201012,4.3,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,0,151,"Takes Reservations
Offers Delivery
Offers Takeout
Many Vegetarian Options
Wheelchair accessible
Accepts Credit Cards
Accepts Cryptocurrency
Casual
Moderate Noise
Good for Groups
Good For Kids
Good for Breakfast, Brunch, Lunch
Private Lot Parking
Waiter Service
Free Wi-Fi
Beer & Wine Only
TV
Offers Military Discount
Gender-neutral restrooms
Open to All
No Outdoor Seating
Offers Catering
No Happy Hour
No Drive-Thru
Dogs Not Allowed
Provides reusable tableware
No Bike Parking",22
61.140744,Little Italy Restaurante,-149.8391631,"2300 E 88th Ave, Anchorage, AK 99507, United States",ChIJwc9KId6ZyFYReCk9hR2v8vg,/biz/little-italy-restaurante-anchorage?osq=Restaurants,0.154039478933012,3.8,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0,113,"Takes Reservations
Offers Delivery
Offers Takeout
Many Vegetarian Options
Accepts Credit Cards
Outdoor Seating
Intimate, Romantic, Classy
Quiet
Casual Dress
Good for Groups
Good For Kids
Good for Dinner
Private Lot Parking
Full Bar
TV
Bike Parking",16
61.1451017,Long Branch Saloon,-149.8493037,"1737 E Dimond Blvd, Anchorage, AK 99507, United States",ChIJz9sF59iZyFYRVfNRaIMlr60,/biz/long-branch-saloon-anchorage?osq=Restaurants,0.119554639093409,3.8,99508,9,15722,41.3,0,0,3106,8.2,1,5326,14.0,1,5151,13.5,1,2930,7.7,1,1605,25.3,0,6.5,1,65430,0,1,0,126,"Offers Takeout
No Reservations
No Delivery
Many Vegetarian Options
Accepts Credit Cards
Accepts Apple Pay
Outdoor Seating
Divey
Loud
Good for Groups
Good for Lunch, Dinner, Late Night
Pool Table
Private Lot Parking
Waiter Service
Juke Box
Best nights on Monday, Friday, Sunday
Full Bar
TV
Offers Catering
Not Good For Kids
No Wi-Fi
No Drive-Thru
Bike Parking",19
61.1661773,Los Arcos,-149.8453373,"2000 E Dowling Rd, Anchorage, AK 99507, United States",ChIJT8ImqXaXyFYRLWdq7ti3B0A,/biz/los-arcos-anchorage?osq=Restaurants,0.063692395926738,3.8,99504,10,21807,52.2,1,0,4213,10.1,1,2973,7.1,0,4912,11.8,1,1703,4.1,1,1965,27.5,0,5.4,1,75956,0,0,0,101,"Takes Reservations
Offers Takeout
No Delivery
Accepts Credit Cards
Accepts Apple Pay
Casual, Classy
Moderate Noise
Offers Catering
Good for Groups
Good For Kids
Good for Lunch, Dinner
Private Lot Parking
Full Bar
TV
No Outdoor Seating
No Wi-Fi
No Happy Hour
Bike Parking",14
61.1750936,Lucky Kitchen,-149.8970902,"5011 Arctic Blvd B, Anchorage, AK 99503, United States",ChIJlSs30pKXyFYR3yEafyr82Ho,/biz/lucky-kitchen-anchorage?osq=Restaurants,0.104271858061434,3.0,99517,15,10461,66.2,1,1,581,3.7,0,1160,7.3,1,1605,10.2,1,259,1.6,0,1255,47.1,1,6.4,1,82619,0,1,1,21,"Offers Delivery
Offers Takeout
No Reservations
Accepts Credit Cards
Quiet
Good for Groups
Good For Kids
Good for Lunch
Private Lot Parking
TV
No Outdoor Seating
No Wi-Fi
No Alcohol",9
61.2178566,Lucky Wishbone,-149.8633984,"1033 E 5th Ave, Anchorage, AK 99501, United States",ChIJt1coxDqWyFYRVPQSajGsBr0,/biz/lucky-wishbone-anchorage?osq=Restaurants,0.117624914720287,3.7,99518,21,6234,58.1,1,0,259,2.4,0,553,5.2,0,1298,12.1,1,192,1.8,0,587,21.2,0,3.0,0,84045,0,1,0,298,"Offers Delivery
Offers Takeout
No Reservations
Many Vegetarian Options
Wheelchair accessible
Accepts Credit Cards
Accepts Apple Pay
Outdoor Seating
Casual
Moderate Noise
Offers Catering
Good for Groups
Good For Kids
Good for Lunch, Dinner
Private Lot Parking
Waiter Service
Drive-Thru
No Wi-Fi
No Happy Hour
No Alcohol
Dogs Not Allowed
No TV
Bike Parking",17
61.1901131,Lucy's,-149.8322363,"Cuddy Hall, 3400, Seawolf Dr, Anchorage, AK 99508, United States",ChIJgf_1DQCXyFYRKhIMIvHaw6E,/biz/lucys-anchorage?osq=Restaurants,0.130291551026382,4.7,99577,13,22970,84.0,1,1,425,1.6,0,638,2.3,0,588,2.2,0,175,0.6,0,1801,39.0,1,3.5,1,111388,1,1,0,10,"Takes Reservations
Offers Delivery
Offers Takeout
Many Vegetarian Options
Accepts Credit Cards
Quiet
Good for Groups
TV
No Outdoor Seating
Offers Catering
Not Good For Kids
No Wi-Fi
No Alcohol
Bike Parking",11
61.1747907,Luigi's Pizza,-149.8970974,"5011 Arctic Blvd H, Anchorage, AK 99503, United States",ChIJRx6405KXyFYRakFJzWnU-9w,/biz/luigis-pizza-anchorage?osq=Restaurants,0.075139805995448,4.0,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,1,41,"Offers Delivery
Offers Takeout
No Reservations
Accepts Credit Cards
Good For Kids
TV
No Outdoor Seating
Not Good For Groups
No Wi-Fi",6
61.1522473,Main Event Grill,-149.8624301,"1041 E 76th Ave #1A, Anchorage, AK 99518, United States",ChIJ1_f4iZ6XyFYRJ2To_nICb-s,/biz/main-event-grill-anchorage-2?osq=Restaurants,0.117301686318214,3.5,99517,15,10461,66.2,1,1,581,3.7,0,1160,7.3,1,1605,10.2,1,259,1.6,0,1255,47.1,1,6.4,1,82619,0,1,0,34,"Offers Delivery
Offers Takeout
Offers Catering",3
61.1667502,Mammoth Cheesesteak,-149.8808552,"230 E Potter Dr, Anchorage, AK 99518, United States",ChIJrXv8tdKXyFYRDiB_feh7Klc,/biz/mammoth-cheesesteak-anchorage?osq=Restaurants,0.153554850637703,4.8,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0,13,"Offers Takeout
Outdoor Seating
Offers Catering",3
